time,msl,t2m,u10,v10,h700,tcc
1979-01-01,101282.11,294.56665,2.368432,1.0577359,3139.463,0.39042163
1979-02-01,101271.7,294.43695,2.1317239,1.2448425,3137.204,0.06909688
1979-03-01,101292.695,293.82227,2.042029,1.1955638,3140.235,0.19804335
1979-04-01,101302.484,292.4285,1.1079302,1.3236883,3139.439,0.08210272
1979-05-01,101425.055,290.8385,0.5994823,1.6642408,3149.2158,0.11853665
1979-06-01,101585.75,288.39264,0.3402171,1.3861586,3141.1506,0.13910548
1979-07-01,101570.22,288.2395,0.07803297,1.7015408,3146.3936,0.0972468
1979-08-01,101482.08,289.77646,0.772504,2.110174,3147.338,0.118941024
1979-09-01,101527.55,290.0459,1.2318568,2.2002397,3134.1084,0.11441087
1979-10-01,101451.305,291.66113,1.7657789,1.9532402,3142.8735,0.18897922
1979-11-01,101344.54,292.10696,2.1391542,1.4560579,3133.992,0.15715747
1979-12-01,101319.75,293.6487,2.3440187,1.3852484,3138.6006,0.1702587
1980-01-01,101245.516,294.49725,2.5135894,1.4128444,3138.2178,0.08935956
1980-02-01,101257.234,294.45023,2.3758633,1.5229249,3136.233,0.083767906
1980-03-01,101084.84,294.7848,2.1391535,1.5512791,3136.8062,0.13758622
1980-04-01,101234.016,292.97562,1.2820113,1.6918366,3135.553,0.1602189
1980-05-01,101435.94,290.94458,0.7096107,1.9185181,3146.2256,0.17890416
1980-06-01,101494.99,288.7887,0.26458836,1.8005528,3143.9797,0.1280004
1980-07-01,101546.26,288.68427,0.31129265,1.701844,3138.143,0.21042262
1980-08-01,101568.06,288.76044,0.72075677,1.4762242,3139.9312,0.12684831
1980-09-01,101546.08,289.60706,1.2403486,1.4234583,3132.2354,0.083674446
1980-10-01,101499.14,290.86893,1.8923606,1.9118463,3141.229,0.15679601
1980-11-01,101422.445,291.62094,2.1781628,1.3057964,3135.874,0.18213534
1980-12-01,101312.86,293.31598,2.2946599,1.3931329,3135.0828,0.10976912
1981-01-01,101355.41,293.5898,2.6178799,1.5298998,3137.2854,0.14448065
1981-02-01,101165.766,294.5206,2.5292463,1.4125413,3132.8667,0.1641711
1981-03-01,101314.89,293.9785,2.1073103,1.7753829,3146.7837,0.13060215
1981-04-01,101286.35,292.86798,1.368523,2.043003,3140.6147,0.14640239
1981-05-01,101462.24,290.73035,0.9333167,1.6117781,3145.317,0.092536405
1981-06-01,101571.484,288.40875,0.06184554,1.7294403,3144.1865,0.14708334
1981-07-01,101620.81,287.8442,0.1809969,1.7532451,3141.3733,0.086972415
1981-08-01,101573.69,288.9823,0.8088596,1.0704722,3134.7576,0.104260445
1981-09-01,101547.22,290.0423,1.2891762,1.5752361,3139.2146,0.12073879
1981-10-01,101484.45,290.9847,1.7920517,1.599345,3131.7993,0.15211134
1981-11-01,101388.3,291.99533,2.2660003,1.4880512,3131.487,0.112068534
