time,msl,t2m,u10,v10,h700,tcc
1979-01-01,101333.35,292.63245,1.9799323,2.6120567,3136.386,0.10519128
1979-02-01,101358.555,292.29156,1.6954575,2.5229003,3127.2275,0.029633924
1979-03-01,101414.47,290.7708,1.3908134,2.9056048,3126.7744,0.10135733
1979-04-01,101466.14,288.9412,0.61911964,1.9418685,3115.2034,0.29990998
1979-05-01,101688.336,285.96725,-0.08251476,2.630252,3121.642,0.41528693
1979-06-01,101791.734,282.52612,-0.5325813,1.896987,3111.0962,0.29662156
1979-07-01,101731.2,283.47702,-0.22687626,0.3243196,3105.9863,0.565776
1979-08-01,101812.25,284.36298,0.12128925,1.9728003,3110.598,0.48328704
1979-09-01,101894.76,284.10565,0.22743607,2.7097042,3088.0186,0.30949676
1979-10-01,101704.86,286.97437,0.85689116,3.755925,3109.7961,0.15155342
1979-11-01,101459.67,289.15057,1.448133,2.2778723,3104.8027,0.31290725
1979-12-01,101408.58,291.84396,1.7846208,2.58537,3119.1682,0.21512063
1980-01-01,101314.86,293.25952,1.9204898,3.0481339,3133.9204,0.05611296
1980-02-01,101356.15,292.96143,1.7495923,3.1136363,3124.4746,0.10527521
1980-03-01,101181.25,292.8681,1.3494158,3.1815648,3131.9578,0.18095082
1980-04-01,101407.375,288.0496,0.5299568,1.0794182,3088.554,0.54234123
1980-05-01,101642.3,286.0348,0.18285465,0.075045824,3101.9216,0.5227176
1980-06-01,101768.69,283.8638,-0.31285572,1.1988997,3097.4368,0.511807
1980-07-01,101768.31,282.27704,-0.5867157,0.30491138,3083.683,0.46939325
1980-08-01,101871.14,283.20886,-0.15044975,1.8205674,3103.2117,0.31210992
1980-09-01,101800.23,284.463,0.3739195,2.7321446,3101.513,0.30990875
1980-10-01,101760.016,286.4556,0.93544006,3.1797452,3101.8154,0.19827415
1980-11-01,101613.8,288.40332,1.3865676,3.52424,3107.6064,0.19465384
1980-12-01,101423.14,291.4309,1.6912117,3.3986936,3122.9624,0.04949414
1981-01-01,101466.01,291.8811,1.8589239,2.801286,3124.8047,0.092804395
1981-02-01,101227.86,292.65924,1.7283626,3.3077178,3126.9402,0.06636351
1981-03-01,101424.47,291.13025,1.2103624,2.427679,3135.8237,0.104088776
1981-04-01,101483.17,289.45117,0.6477804,2.2718072,3115.6682,0.22759907
1981-05-01,101573.91,287.08527,0.41850185,-0.22638702,3100.4995,0.5331894
1981-06-01,101875.07,283.3316,-0.47313786,2.4749863,3107.281,0.41105628
1981-07-01,101883.11,282.99536,-0.30754757,1.1625097,3104.7007,0.4130705
1981-08-01,101792.625,283.86584,-0.060224533,1.9891758,3100.6882,0.36723483
1981-09-01,101863.48,284.68475,0.16905594,3.6691947,3106.4949,0.2962515
1981-10-01,101707.64,286.41486,1.1042156,2.2633162,3091.4055,0.22294113
1981-11-01,101553.71,288.6751,1.6169081,3.4969475,3104.673,0.07563366
1981-12-01,101404.97,290.89667,1.7485309,3.6807182,3121.5417,0.07442434
1982-01-01,101372.61,291.9543,1.9289818,2.5981069,3129.4104,0.060385615
1982-02-01,101355.7,291.62842,1.7124414,3.2998333,3120.21,0.05644866
1982-03-01,101375.14,290.86316,1.4024901,2.9341106,3121.5176,0.11979079
1982-04-01,101542.25,288.39612,0.9407482,2.530178,3127.8345,0.2371515
1982-05-01,101585.56,285.54645,0.2953701,0.13266397,3100.0762,0.49346894
1982-06-01,101728.734,283.77768,-0.15894127,-0.38529134,3076.5342,0.6962828
1982-07-01,101642.87,284.18298,-0.17168045,0.43227744,3080.8408,0.62534523
1982-08-01,101663.07,283.84317,0.18710041,1.6871367,3094.1938,0.5235568
1982-09-01,101621.84,285.68982,0.71996117,0.40801716,3084.792,0.45999345
1982-10-01,101638.945,286.92126,0.9651618,3.1815648,3097.5312,0.19742724
1982-11-01,101422.57,288.71893,1.3886905,3.815969,3095.1753,0.22504693
1982-12-01,101231.47,291.98785,1.7400393,3.1391094,3122.649,0.10589321
1983-01-01,101112.67,293.2528,1.8790927,2.3470137,3116.3633,0.265805
1983-02-01,101194.87,293.30383,1.7580843,3.9075513,3127.9517,0.11657485
1983-03-01,101254.64,291.05136,1.336678,2.9547317,3115.2473,0.33814645
1983-04-01,101350.766,288.97214,0.7348213,3.1008995,3104.91,0.3223338
1983-05-01,101515.59,284.9911,0.26246452,1.7089705,3074.75,0.36833352
1983-06-01,101755.71,281.9661,0.028939247,0.8501594,3061.193,0.44239545
1983-07-01,101734.875,281.7232,-0.084638596,0.8726001,3068.3318,0.4557551
1983-08-01,101797.44,283.00055,0.00028038025,0.0059046745,3078.9329,0.42685747
1983-09-01,101967.45,283.19183,0.41213226,2.256038,3084.0864,0.37283126
1983-10-01,101665.54,286.8924,0.9248252,3.3689747,3113.817,0.15367448
1983-11-01,101581.195,289.6384,1.3897519,3.246461,3129.389,0.15012665
1983-12-01,101450.94,291.5794,1.8865223,2.2984934,3136.0505,0.10161293
1984-01-01,101363.68,292.74124,1.9788713,3.1979403,3128.7578,0.06742786
1984-02-01,101231.84,291.77692,1.8249569,3.635837,3115.127,0.043542944
1984-03-01,101357.6,290.66254,1.4927144,2.271201,3119.6313,0.22367738
1984-04-01,101563.4,288.10785,0.7061615,3.1651893,3121.018,0.12194619
1984-05-01,101710.11,283.7292,0.60426044,0.64576745,3079.5127,0.39112738
1984-06-01,101866.2,281.70105,-0.14620304,1.6671219,3063.839,0.5066494
1984-07-01,101597.53,282.55655,0.38135052,-0.21789598,3069.0166,0.58345795
1984-08-01,101925.02,282.13885,-0.11436081,2.021927,3083.689,0.35762137
1984-09-01,101771.09,284.81937,0.67325497,0.65001273,3086.673,0.5551592
1984-10-01,101713.79,287.11465,1.073432,3.2058249,3105.2773,0.24360627
1984-11-01,101667.25,288.64313,1.6232772,3.022054,3106.942,0.15558192
1984-12-01,101306.945,291.05908,1.8207116,3.568515,3106.0408,0.17575496
1985-01-01,101448.16,292.18945,2.1168633,2.4246464,3122.8745,0.10258954
1985-02-01,101266.1,292.31683,1.7517147,3.6983073,3123.7568,0.040224016
1985-03-01,101265.47,290.99103,1.3494153,2.312443,3115.521,0.09185067
1985-04-01,101609.81,287.47922,0.73906803,3.8942082,3117.1714,0.13602307
1985-05-01,101667.56,284.92096,0.038492203,1.7859964,3111.929,0.4097516
1985-06-01,101664.15,284.48468,-0.20883179,0.35161233,3112.6172,0.49962232
1985-07-01,101845.31,282.28992,-0.33302307,-0.25186014,3082.5305,0.4427235
1985-08-01,101911.04,282.83087,-0.08145428,3.018415,3099.707,0.2039049
1985-09-01,101733.42,285.01892,0.4556532,2.152932,3096.336,0.34697405
1985-10-01,101644.45,287.04092,1.1073985,2.3445876,3089.9343,0.36658248
1985-11-01,101578.28,289.7044,1.8430023,2.7691414,3117.9897,0.123460695
1985-12-01,101484.945,291.36285,1.9884243,3.1591241,3127.1511,0.05982864
1986-01-01,101381.29,292.38647,1.9364119,3.9233205,3128.7334,0.060278796
1986-02-01,101368.3,292.20496,1.7304854,2.8109903,3128.5015,0.12288466
1986-03-01,101441.63,290.11798,1.3685226,3.5824645,3128.7458,0.05482734
1986-04-01,101482.59,287.65765,0.87069035,2.400993,3107.6448,0.25428408
1986-05-01,101587.586,285.76767,0.1977148,0.9429548,3095.62,0.5208025
1986-06-01,101793.445,283.8612,0.05441475,0.7240062,3091.8013,0.5496582
1986-07-01,101792.31,283.3636,-0.15469646,1.5506725,3122.0552,0.41456214
1986-08-01,101708.086,283.94733,0.3102312,0.7749529,3081.9846,0.57060564
1986-09-01,101811.234,284.1366,0.4450388,1.9145758,3088.869,0.4846642
1986-10-01,101722.4,287.91498,0.91208744,2.4913619,3113.0264,0.43198085
1986-11-01,101488.61,288.88242,1.7188091,2.864969,3093.974,0.22966293
1986-12-01,101327.97,292.00073,1.7135019,3.8190012,3131.1382,0.117612496
1987-01-01,101290.484,292.30652,1.8557401,3.1730735,3130.0513,0.06893856
1987-02-01,101140.72,293.11047,1.7676368,2.9662554,3126.713,0.086181775
1987-03-01,101284.27,291.763,1.5065141,2.1729472,3120.1978,0.16830452
1987-04-01,101444.6,288.6875,0.65096474,3.0178082,3116.835,0.29364213
1987-05-01,101648.44,284.46042,-0.2672119,0.9848037,3075.4646,0.49620423
1987-06-01,101795.98,283.53687,-0.65358925,2.6381361,3117.2024,0.31526864
1987-07-01,101442.2,283.36978,-0.10905075,-2.34127,3045.1665,0.56849986
1987-08-01,101762.61,283.60077,0.21576023,0.6299982,3077.7158,0.5460303
1987-09-01,101824.47,284.85028,0.21469784,2.302739,3095.8787,0.47288388
1987-10-01,101654.33,287.56485,0.92482615,2.6466274,3101.692,0.4241184
1987-11-01,101512.42,290.23245,1.4545021,3.6989136,3120.492,0.12564662
1987-12-01,101429.85,291.46753,1.5818796,4.216262,3124.7095,0.10575587
1988-01-01,101383.31,291.8811,1.7856832,3.567302,3128.939,0.04181481
1988-02-01,101261.42,292.47668,1.6466293,2.6448076,3130.7952,0.095352724
1988-03-01,101435.734,291.07764,1.3345551,3.658884,3131.0835,0.13150245
1988-04-01,101528.7,288.7442,0.7762184,2.272414,3122.5925,0.16030474
1988-05-01,101738.92,284.94263,-0.1918478,2.4106972,3109.8464,0.4274373
1988-06-01,101887.55,283.03558,-0.38928223,0.8295381,3103.7227,0.5168693
1988-07-01,101943.836,282.3766,-0.20246124,0.23637629,3093.1025,0.4704805
1988-08-01,101956.69,282.94745,0.13827229,1.2019324,3093.6543,0.3990966
1988-09-01,101912.49,283.51364,0.2603426,2.2147956,3086.314,0.24747074
1988-10-01,101768.44,286.6428,0.7539282,4.256292,3106.67,0.12314407
1988-11-01,101590.625,289.428,1.4205351,3.9639564,3125.9224,0.12566951
1988-12-01,101503.69,290.8755,1.8345108,3.4096107,3127.1328,0.040643647
1989-01-01,101261.984,292.63605,1.8281412,3.2306914,3130.371,0.09836266
1989-02-01,101281.68,292.8454,1.8175268,3.1160622,3138.933,0.08376696
1989-03-01,101453.41,290.4583,1.3961205,3.338043,3127.4714,0.0809554
1989-04-01,101429.664,288.4441,0.79214096,3.237363,3116.8733,0.1400325
1989-05-01,101713.85,284.64557,-0.12072849,1.8605967,3120.1482,0.45176095
1989-06-01,101788.31,283.52396,-0.33196163,0.7949674,3110.4734,0.42897856
1989-07-01,101789.266,282.67206,-0.15469551,0.2933879,3091.6587,0.4799567
1989-08-01,101914.9,283.41257,0.1212883,2.1092641,3097.3345,0.42253137
1989-09-01,101765.266,283.8019,0.31659985,2.0425484,3085.1987,0.32460365
1989-10-01,101711.82,286.7356,1.0617552,3.3337975,3113.609,0.16779333
1989-11-01,101473.484,289.7467,1.4247799,3.3228803,3117.006,0.13238367
1989-12-01,101522.81,291.95123,1.9119983,3.321061,3127.993,0.04320343
1990-01-01,101199.74,292.61182,1.7931132,3.7061915,3121.581,0.06820991
1990-02-01,101470.695,291.89706,1.8185883,2.675133,3139.1172,0.14802848
1990-03-01,101418.586,290.53467,1.2358384,3.0614767,3123.524,0.15458243
1990-04-01,101504.95,288.30847,0.9205799,2.345194,3103.9822,0.24636444
1990-05-01,101711.13,285.01428,-0.29268742,2.809777,3112.5288,0.3467528
1990-06-01,101780.34,282.7685,-0.7788429,2.6563313,3120.081,0.37867564
1990-07-01,101978.09,281.62213,-0.50286007,1.7872097,3102.062,0.3610013
1990-08-01,101774.01,283.51367,-0.11966705,1.8138957,3111.5474,0.41204813
1990-09-01,101841.57,284.2655,0.26246452,2.3458009,3101.1694,0.42755178
1990-10-01,101792.81,286.4556,1.1679039,2.9159155,3101.2908,0.2195268
1990-11-01,101473.36,289.34033,1.6498132,3.319848,3107.8782,0.083358765
1990-12-01,101395.59,291.0926,1.9640107,3.7061918,3121.873,0.17944396
1991-01-01,101408.95,292.059,1.9045672,4.0531125,3129.2249,0.0533052
1991-02-01,101336.08,292.1936,1.7018251,3.6613104,3138.2039,0.06290724
1991-03-01,101351.586,290.957,1.5638342,2.7430618,3131.369,0.07598844
1991-04-01,101466.45,288.95355,0.9842677,2.0698411,3115.9915,0.31616515
1991-05-01,101565.17,286.3272,0.07139778,1.0982201,3109.5684,0.6125616
1991-06-01,101699.34,283.7818,-0.37760544,0.28792906,3095.748,0.5512108
1991-07-01,101885.39,282.884,-0.2703972,1.2953343,3091.5918,0.4956854
1991-08-01,101879.375,282.77057,0.09156704,1.7690146,3091.9238,0.38713706
1991-09-01,101679.84,285.3933,0.4089489,2.317295,3101.4893,0.49177134
1991-10-01,101648.0,286.3824,0.83778477,2.6775591,3093.1892,0.26399678
1991-11-01,101522.805,289.1913,1.5808182,3.2737534,3105.4612,0.20108572
1991-12-01,101356.97,290.9792,1.6455674,3.3277326,3104.0728,0.27531168
1992-01-01,101259.836,292.75052,2.0149622,2.6557248,3128.268,0.1605031
1992-02-01,101340.0,292.34366,1.7506533,3.2943747,3122.8003,0.10141837
1992-03-01,101223.93,291.8584,1.3918757,2.0783322,3118.8738,0.22154869
1992-04-01,101492.734,288.42035,0.68493176,2.7188015,3099.3213,0.38747656
1992-05-01,101557.445,285.2355,0.14145565,-0.4920361,3071.3665,0.59613097
1992-06-01,101614.81,283.13153,0.13084221,0.54326797,3063.454,0.6530069
1992-07-01,102020.33,281.7567,-0.44554043,2.1620297,3091.475,0.48319548
1992-08-01,101855.44,282.9,0.0034637451,1.2334707,3099.6753,0.4215243
1992-09-01,101759.19,284.19022,0.22425175,3.034184,3099.9497,0.24211848
1992-10-01,101693.4,286.7748,0.8961654,4.2866173,3108.6924,0.17009369
1992-11-01,101452.65,289.18408,1.4162898,2.8861969,3106.165,0.16944516
1992-12-01,101370.2,291.65314,1.7697601,3.3641229,3113.8062,0.15073322
1993-01-01,101329.11,293.24557,1.8005428,3.6400826,3136.522,0.1275922
1993-02-01,101314.92,292.6479,1.7379165,2.5987134,3137.6501,0.17236355
