time,msl,t2m,u10,v10,h700,tcc
1979-01-01,101561.44,288.5802,1.5553427,0.7349236,3083.1707,0.43337327
1979-02-01,101657.31,288.01605,1.286789,1.0430279,3081.7476,0.43321687
1979-03-01,101619.19,286.48602,0.66051674,0.46502876,3076.415,0.45622054
1979-04-01,101762.35,284.24796,0.0692749,-0.06687617,3075.419,0.57501566
1979-05-01,101528.32,282.89072,1.4364567,-2.0052662,3019.0244,0.85721314
1979-06-01,102059.836,280.18906,1.182765,-1.0257604,3044.046,0.72461206
1979-07-01,101443.66,280.1282,0.23698997,-2.745809,2999.475,0.7652633
1979-08-01,101333.984,281.16986,1.8313265,-2.4589324,2975.1328,0.8294524
1979-09-01,101819.8,280.26178,1.5298672,-1.3326523,3000.8267,0.71786356
1979-10-01,101822.89,282.44568,2.1327863,-0.5532932,3018.546,0.74328196
1979-11-01,101450.24,284.9663,1.369585,-0.5532932,3017.9219,0.6734126
1979-12-01,101478.55,287.15588,1.5786953,-0.29067683,3048.5703,0.50317395
1980-01-01,101643.055,288.9608,1.8451252,0.93143106,3083.458,0.56517327
1980-02-01,101250.97,288.11456,2.157199,-0.124494314,3045.507,0.6789633
1980-03-01,101420.29,287.0435,1.592493,-1.0797396,3054.7664,0.6156287
1980-04-01,101345.06,281.79333,0.9513626,-0.91355705,2982.2495,0.7218959
1980-05-01,101093.875,282.18835,1.1105843,-3.5124311,2971.7485,0.83866906
1980-06-01,101535.03,280.3025,1.0192966,-2.3073058,2990.8267,0.8075702
1980-07-01,101533.125,279.56097,0.57772255,-2.2636375,2985.933,0.84632933
1980-08-01,101579.61,280.9801,1.873785,-2.7809863,2995.1895,0.8571521
1980-09-01,101888.875,281.80054,1.558527,-1.0603316,3027.3362,0.7505188
1980-10-01,102111.33,283.02942,1.2740517,0.5687411,3053.5374,0.61240137
1980-11-01,101785.72,283.90863,2.3387117,0.3867898,3032.728,0.6219348
1980-12-01,101518.63,286.91043,2.223011,-0.42592692,3043.5125,0.6671181
1981-01-01,101542.25,287.59937,1.6222143,-0.031092167,3053.9604,0.6641768
1981-02-01,101585.305,287.62518,1.6710434,0.7045982,3068.0356,0.51602626
1981-03-01,101555.93,286.44635,0.9768381,0.24001527,3067.082,0.6488944
1981-04-01,101523.88,285.14682,0.1563158,-1.0918698,3044.437,0.669716
1981-05-01,100843.11,282.49725,1.5850639,-3.9109044,2951.3809,0.8638205
1981-06-01,101751.97,281.1018,1.388691,-1.481246,3014.8066,0.84400225
1981-07-01,101689.41,279.68884,0.3622427,-2.5414166,3008.2415,0.80893594
1981-08-01,101852.91,280.2262,1.3334942,-1.509752,3005.3838,0.75247204
1981-09-01,101960.68,280.3752,1.8780303,-1.3556993,3010.7761,0.71523887
1981-10-01,101845.305,283.3476,1.1434889,-0.36103106,3031.6052,0.59455544
1981-11-01,101785.22,284.02466,2.3450804,0.41104984,3032.7842,0.6276876
1981-12-01,101689.66,286.3669,2.2941294,0.9854102,3050.244,0.56404793
1982-01-01,101411.3,288.83188,1.8748474,-0.5102315,3064.2297,0.5388888
1982-02-01,101620.45,286.49634,1.7835598,1.0478799,3057.9927,0.5214205
1982-03-01,101635.4,285.78314,1.3770151,0.68276405,3060.5469,0.52827966
1982-04-01,101746.336,284.61206,0.27307987,-0.3579986,3073.4463,0.676682
1982-05-01,101107.42,283.21558,0.7549896,-3.2498145,2990.2385,0.88780075
1982-06-01,101317.2,278.19028,0.84521484,-1.9191427,2952.1257,0.6949934
1982-07-01,101324.1,279.09375,0.42381,-1.6183157,2958.5066,0.82378346
1982-08-01,101376.34,280.4268,0.9492407,-2.7361045,2974.5325,0.8614477
1982-09-01,101404.27,282.65195,0.042738914,-2.5183697,2996.6099,0.74278224
1982-10-01,101638.31,282.2131,2.453351,-1.2313659,2993.1284,0.8233218
1982-11-01,101601.64,284.08606,2.1603827,-0.039583683,3010.2893,0.6957563
1982-12-01,101612.66,287.35907,2.0043468,0.8258991,3061.3782,0.6007355
1983-01-01,101272.305,289.395,1.5330515,0.32128716,3060.7065,0.5314269
1983-02-01,101620.516,287.7149,1.8568015,0.99086857,3066.888,0.5647117
1983-03-01,101475.0,286.1498,1.2305298,0.1308446,3048.1812,0.67223
1983-04-01,101460.945,284.1505,1.286788,-0.72493434,3021.484,0.67488134
1983-05-01,101477.28,282.1136,0.5702925,-1.756599,2997.0623,0.7751324
1983-06-01,101672.88,278.75546,0.58302975,-0.8565459,2982.1633,0.7073574
1983-07-01,101572.516,278.68173,1.9863014,-1.1828454,2972.59,0.694631
1983-08-01,101755.96,279.69916,0.1510086,-1.4612308,3009.0295,0.7256459
1983-09-01,101968.59,280.1963,1.5160675,-0.8753476,3007.0784,0.7243068
1983-10-01,101837.64,283.39554,1.7580833,0.21272254,3035.399,0.7148574
1983-11-01,101945.35,285.62585,2.1051865,0.33281064,3069.3867,0.67870003
1983-12-01,101592.91,288.64572,1.6880255,0.6591103,3077.3232,0.5278447
1984-01-01,101484.82,288.17282,2.5021787,-0.11054468,3056.8728,0.60810965
1984-02-01,101398.83,286.6985,2.3026214,-0.5308528,3031.5137,0.6940129
1984-03-01,101546.55,286.3076,0.41531754,0.5541849,3067.3186,0.59245723
1984-04-01,101947.766,282.92627,0.9694071,-0.05717206,3054.5518,0.6051836
1984-05-01,101287.19,280.65417,2.2039046,-1.4854913,2954.4172,0.8237109
1984-06-01,101766.16,277.29608,0.22318935,-1.2932291,2978.6514,0.7111951
1984-07-01,101304.664,278.2207,-0.08251572,-1.9318795,2952.3408,0.8189767
1984-08-01,102017.54,279.38147,0.8006325,-0.63213897,3013.3176,0.76861656
1984-09-01,101545.03,282.02692,0.3633051,-2.3764472,3003.0127,0.7644737
1984-10-01,101454.68,282.39154,2.4501672,-2.9611182,2979.6157,0.80227137
1984-11-01,101806.05,284.7719,1.908814,0.36798787,3042.8667,0.6092808
1984-12-01,101503.875,287.11362,1.9130597,0.67548585,3046.695,0.6140608
1985-01-01,101538.38,288.06042,1.5372972,-0.12388778,3058.6982,0.50462747
1985-02-01,101532.125,287.4431,1.8727221,0.32068086,3061.5752,0.540575
1985-03-01,101507.86,285.56863,1.7241173,0.6136224,3039.5938,0.6794516
1985-04-01,101617.09,282.85822,1.8939533,-1.5358312,3012.9583,0.7783102
